BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS604,LIDE,7.853981633974483e-5,1,138,1,-0.18191491097855542
BS604,LIDE,1.7671458676442585e-4,0,138,1,-0.18149889376554323
BS604,LIDE,6.942919764433443e-4,0,138,1,-0.17930565101854296
BS604,LIDE,2.544690049407733e-4,1,138,1,-0.18116940813283758
BS604,LIDE,6.942919764433443e-4,0,138,1,-0.17930565101854296
BS604,LIDE,0.03423079355351439,1,138,1,-0.03719417105357647
BS604,LIDE,0.014313881527918494,0,138,1,-0.12159241509178689
BS605,UMCA,0.11866423771139367,1,139,4,0.3205939446877293
BS605,QUPA,0.2069948275560511,0,139,3,0.6948962797167672
BS605,UMCA,0.005410607947645023,1,139,4,-0.159320184105437
BS605,UMCA,0.020867243803306804,1,139,4,-0.09382243408879672
BS605,UMCA,0.05518286035846811,1,139,4,0.051590558478634516
BS605,UMCA,0.02485942266785604,1,139,4,-0.07690551013886872
BS605,QUPA,0.054739110396148545,0,139,3,0.049710160675819355
BS605,UMCA,0.026015528764377075,1,139,4,-0.07200649143843713
BS605,UMCA,0.033006357816777764,1,139,4,-0.042382737734264604
BS605,UMCA,1.5393804002589983e-4,1,139,4,-0.18159540975896207
BS605,UMCA,0.009331315579325082,1,139,4,-0.14270612068658192
BS605,UMCA,0.005808804816487527,1,139,4,-0.15763281828945955
BS605,UMCA,0.010568317686676064,1,139,4,-0.13746430380262822
BS605,UMCA,0.04523893421169302,1,139,4,0.009453007007055123
BS605,UMCA,0.00833228911548353,1,139,4,-0.146939511846194
BS611,LIDE,0.0021873338850618936,1,140,1,-0.17297886124305345
BS611,LIDE,8.042477193189871e-4,0,140,1,-0.17883971173996926
BS611,LIDE,3.141592653589793e-4,1,140,1,-0.18091646966732616
BS611,LIDE,4.908738521234052e-4,1,140,1,-0.18016763868390423
BS611,LIDE,4.908738521234052e-4,1,140,1,-0.18016763868390423
BS611,LIDE,0.001195376004690916,1,140,1,-0.17718229916332867
BS611,LIDE,0.0021237166338267,0,140,1,-0.17324844039708537
BS611,LIDE,1.5393804002589983e-4,1,140,1,-0.18159540975896207
BS611,LIDE,0.0034581081134389645,1,140,1,-0.16759393443782358
BS611,LIDE,2.0106192982974677e-4,0,140,1,-0.18139572149671623
BS611,LIDE,2.544690049407733e-4,0,140,1,-0.18116940813283758
BS611,LIDE,7.853981633974483e-5,0,140,1,-0.18191491097855542
BS611,LIDE,4.272566008882119e-4,0,140,1,-0.1804372178379361
BS611,LIDE,9.503317777109126e-5,0,140,1,-0.1818450200867694
BS611,LIDE,1.5393804002589983e-4,0,140,1,-0.18159540975896207
BS611,LIDE,2.0106192982974677e-4,0,140,1,-0.18139572149671623
BS611,LIDE,4.1547562843725005e-4,0,140,1,-0.18048713990349757
BS611,LIDE,5.222897786593032e-4,0,140,1,-0.1800345131757403
BS611,LIDE,2.670353755551324e-4,0,140,1,-0.181116157929572
BS611,LIDE,6.60519855417254e-4,0,140,1,-0.17944876093981912
BS611,LIDE,2.835287369864788e-4,0,140,1,-0.18104626703778598
BS611,QUPA,6.157521601035993e-4,0,140,3,-0.17963846478895268
BS611,LIDE,0.0011945906065275187,0,140,1,-0.1771856273010328
BS611,LIDE,1.7671458676442585e-4,0,140,1,-0.18149889376554323
BS611,LIDE,1.1309733552923256e-4,1,140,1,-0.18176847291957512
BS611,LIDE,0.0013202543126711104,1,140,1,-0.17665312526837718
BS611,LIDE,1.3273228961416876e-4,0,140,1,-0.1816852694769727
BS611,LIDE,1.7671458676442585e-4,1,140,1,-0.18149889376554323
BS611,LIDE,5.30929158456675e-4,0,140,1,-0.17999790366099522
